Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Colorado,2.33,3.07,47.3,8.05,90.05,33.2,34.3,32.5,15.0,80.3,No
Columbus,2.34,2.34,48.6,8.96,91.99,33.0,33.8,33.2,14.2,82.6,No
Dallas,2.64,2.89,48.0,10.16,90.59,31.8,36.1,32.1,16.9,81.0,No
Detroit,2.5,2.25,53.9,8.43,91.67,38.4,31.4,30.2,18.9,81.7,Yes
Edmonton,2.52,2.69,44.3,9.59,91.68,32.5,35.2,32.3,19.5,83.4,No
Florida,2.2,3.5,48.6,7.65,88.68,35.3,29.8,34.9,20.4,74.2,No
Los Angeles,2.69,2.34,55.6,9.15,90.48,37.4,31.0,31.6,19.9,83.2,Yes
Minnesota,2.43,2.57,50.9,8.55,90.37,33.9,33.7,32.4,17.9,80.7,Yes
Montreal,3.0,2.55,53.0,9.95,90.4,34.4,31.3,34.3,20.7,79.8,Yes
Nashville,2.21,2.68,47.0,8.69,90.17,30.8,37.3,31.8,16.4,75.5,No
New Jersey,2.21,2.49,56.2,7.94,88.98,33.7,30.4,35.9,15.9,81.1,No
NY Islanders,2.77,2.79,50.6,9.09,89.94,33.8,32.1,34.0,19.9,80.3,Yes
NY Rangers,2.58,2.21,50.9,8.5,92.02,36.4,32.0,31.6,15.7,81.1,Yes
Ottawa,2.29,2.05,53.2,7.05,93.34,35.4,32.4,32.2,15.9,88.0,Yes
Philadelphia,2.73,2.83,48.5,9.47,89.99,30.4,35.5,34.2,21.6,85.9,No
Pittsburgh,3.35,2.46,49.5,11.27,91.52,32.5,33.6,33.9,23.5,79.6,Yes
San Jose,2.36,2.28,51.7,7.61,91.94,34.7,34.3,31.1,19.5,85.0,Yes
St. Louis,2.53,2.34,52.0,9.21,90.18,35.1,32.9,32.0,18.8,84.7,Yes
Tampa Bay,3.04,3.02,46.8,11.12,89.93,30.7,34.1,35.2,19.0,80.6,No
Toronto,2.99,2.64,45.0,11.48,91.74,29.4,36.8,33.8,18.7,87.9,Yes
Vancouver,2.47,2.34,51.9,8.97,91.71,34.8,34.1,31.1,15.8,84.0,Yes
Washington,3.01,2.66,48.0,10.81,91.67,32.4,35.4,32.2,26.8,77.9,Yes
Winnipeg,2.59,2.88,50.2,9.07,90.15,32.8,33.1,34.1,13.8,79.7,No
Anaheim,3.16,2.44,50.2,10.25,91.37,34.6,33.5,32.0,16.4,82.2,Yes
Arizona,2.51,2.68,50.4,8.4,91.17,34.2,32.7,33.1,19.5,79.0,No
Boston,3.1,2.05,53.1,9.84,92.87,35.3,32.4,32.4,21.7,83.7,Yes
Buffalo,1.79,2.91,43.4,6.92,91.4,30.7,37.8,31.6,14.4,81.4,No
Calgary,2.41,2.86,47.2,9.14,89.85,32.9,34.0,33.0,15.7,81.7,No
Carolina,2.46,2.71,51.2,7.97,91.12,36.1,32.1,31.8,14.6,81.7,No
Chicago,3.12,2.53,54.9,9.58,90.52,36.2,29.7,34.2,19.1,81.5,Yes
Colorado,2.94,2.59,46.6,10.12,91.93,33.4,34.8,31.8,19.4,80.7,Yes
Columbus,2.7,2.58,50.1,9.22,91.51,32.7,35.1,32.3,19.3,82.1,Yes
Dallas,2.73,2.67,51.1,8.75,91.08,34.9,32.3,32.8,16.2,81.4,Yes
Detroit,2.59,2.63,50.9,8.84,90.83,35.3,32.4,32.3,17.4,83.0,Yes
Edmonton,2.4,3.21,44.6,9.01,90.13,30.7,35.9,33.4,16.6,82.1,No
Florida,2.26,3.14,50.4,7.68,89.75,33.3,34.0,32.7,10.0,76.0,No
